ZINC IDs
ZINC19890380
ZINC28089408
ZINC19795634
ZINC06665770
ZINC00000882
ZINC13682782
ZINC29050937
ZINC05332367
ZINC03986669
ZINC39001860
ZINC41162055
ZINC02043204
ZINC18107770
ZINC15923333
ZINC01803337
ZINC03820040
ZINC39280116
ZINC15442276
ZINC35636073
ZINC08581906
ZINC03870968
ZINC08830553
ZINC20148984
ZINC48998306
ZINC00244029
ZINC39716080
ZINC13981024
ZINC13981338
ZINC58541155
ZINC13981023
ZINC16052239
ZINC43176687
ZINC66066276
ZINC58633224
ZINC30691792
ZINC02577648
ZINC02560262
ZINC03801072
ZINC03871742
ZINC01554668
ZINC03815700
ZINC18274812
ZINC02560263
ZINC13493055
ZINC00006989
ZINC03873013
ZINC02011710
ZINC14951176
ZINC03797930
ZINC37858693
ZINC02560264
ZINC02575702
ZINC00006486
ZINC00585151
ZINC01420826
ZINC28563889
ZINC01550170
ZINC24044436
ZINC35902489
ZINC00155806
ZINC05093953
ZINC16693864
ZINC43204048
ZINC12428433
ZINC13027217
ZINC13027220
ZINC19313605
ZINC04904223
ZINC03814434
ZINC08437621
ZINC03874886
ZINC00228501
ZINC01644478
ZINC45356794
ZINC00120286
ZINC66263052
ZINC59206027
ZINC38224982
ZINC01489691
ZINC16052630
ZINC01619592
ZINC13538555
ZINC02526465
ZINC13125787
ZINC18996118
ZINC17782150
ZINC22066124
ZINC14438802
ZINC06906035
ZINC58638454
ZINC03963016
ZINC13608047
ZINC04975478
ZINC04975480
